Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2014-09-21T05:40:00.511,5,-0.0034661683933773363,-0.6509606209847321,FoVP,0.6677124544351013,0.7165103539209947,2456921.7386675123
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2014-09-21T07:26:34.723,4,0.0017797899143408996,-0.6500029039020581,FoVF,0.6665624854603961,0.7178979702610371,2456921.812669171
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2014-10-26T20:48:16.171,2,0.0018033667542244872,-1.0640231896683388,FoVP,0.6814302741510981,0.7101453875657472,2456957.3666718686
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2014-10-26T22:34:50.412,1,0.006808427464160107,-1.0661495905371368,FoVF,0.6821951283519507,0.7091172891493855,2456957.440673725
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2014-12-10T10:10:17.028,2,0.00531086024718337,-0.6386117139424955,FoVF,-0.23448971259394066,0.7002541430764576,2457001.920951192
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2014-12-10T14:23:57.245,1,0.003523027039733575,-0.6516766229189621,FoVP,-0.227503020534133,0.7014007452029404,2457002.097104335
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2014-12-10T16:10:31.515,3,0.002804341395874395,-0.6571699067223143,FoVF,-0.22456712494769204,0.7018627498423072,2457002.1711092414
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2014-12-10T20:24:11.623,3,0.001170276203259353,-0.6702555530047776,FoVP,-0.2175779549676636,0.7029154618090239,2457002.347261176
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2014-12-10T22:10:45.849,4,5.157839542622068E-4,-0.6757571295719985,FoVF,-0.21464150435237075,0.7033379612541066,2457002.421265597
V1674 Her,4.963351327911822,0.2948617415379178,18:57:30.980,+16:53:39.600,2014-12-11T02:24:25.858,4,-9.664568263630469E-4,-0.6888615326886971,FoVP,-0.2076521791732247,0.704296527917488,2457002.597416431
